,Carbons
1,1215.257353588236
2,3316.5255369377164
3,3997.965469954994
4,4236.981693711873
5,4183.401569874339
6,4102.392919312972
7,4021.986895161289
8,3943.1254778610987
9,3865.8093265368416
10,3790.0091458292895
11,3715.6952403455907
12,3642.838471707658
13,3571.410266252506
14,3501.3826138479963
15,3432.72805242436
16,3365.419659359763
17,3299.4310388236754
18,3234.7363123411783
19,3171.310110025149
20,3109.127558626104
21,3048.1642733805734
22,2988.396346878456
23,2929.800339763011
24,2872.3532742774614
25,2816.0326223435113
26,2760.8162956264027
27,2706.682643447654
28,2653.610434089199
29,2601.5788575076763
30,2550.5675068139167
