,Carbons
1,1137.2133033577988
2,2904.227900538675
3,3276.121955909867
4,3249.011756822901
5,3001.9117736115
6,2754.7316376171893
7,2527.297501095589
8,2318.6221903097003
9,2127.1763403776927
10,1951.5379280671762
11,1790.4017685492545
12,1642.5704302136803
13,1506.9453487660708
14,1382.5186685433498
15,1268.365750821305
16,1163.638303547343
17,1067.5580767251924
18,979.4110794944386
19,898.5422747334491
20,824.35071070575
21,756.2850557473689
22,693.8395007847793
23,636.5500006517793
24,583.990826286036
25,535.7714003580918
26,491.53339468349935
27,450.9480686297088
28,413.71382432749704
29,379.553967354266
30,348.2146488742505
