,Carbons
1,1239.5625006600008
2,3450.51316863
3,4242.67294044
4,4586.245246605001
5,4618.813365375001
6,4619.960734785
7,4619.998701945
8,4619.999956604998
9,4619.999997855
10,4620.000000495001
11,4619.999999670001
12,4620.00000066
13,4620.000000495001
14,4620.000000330001
15,4619.999999835
16,4620.000000000001
17,4620.00000033
18,4620.0
19,4619.9999998349995
20,4619.999999504999
21,4619.9999998349995
22,4620.000000494999
23,4620.0
24,4620.0
25,4620.000000825
26,4619.999999505
27,4620.00000066
28,4619.999999505
29,4620.000000495
30,4619.999999505
