Time,Cost
1,448627.45098039217
2,468810.07304882735
3,549892.1983249277
4,104255.95632709214
5,125851.29602586682
6,100207.57047971177
7,120964.33681840332
8,96316.38838880407
9,116267.14419300586
10,92576.30564091126
11,111752.34928201255
12,88981.4548643899
13,107412.86935987366
14,85526.19652478845
15,103241.89673190471
16,82205.11007765133
17,99232.88805450278
18,79012.98546487055
19,95379.55407007188
20,75944.81494124429
21,91675.84974055352
22,72995.78521842012
23,88115.96476408449
24,70161.2699138986
25,84694.31445990436
26,67436.82229325126
27,81405.53100721295
28,64818.1682941669
29,78244.4550242339
30,62301.19982138302
