Time,NBS-1,NBS-2,NBS-3
1,14705.882352941177,5882.35294117647,6372.549019607843
2,28354.47904652057,11774.317570165322,11534.025374855824
3,38635.21571642882,18610.866107304126,15783.899103662992
4,37877.66246708708,18245.947164023655,15474.410885944113
5,37134.96320302655,17888.183494140838,15170.99106465109
6,36406.82666963387,17537.43479817729,14873.520651618715
7,35692.967323170466,17193.563527624796,14581.882991783055
8,34993.10521879457,16856.434831004703,14295.963717434366
9,34306.96590077899,16525.916500985,14015.650703367026
10,33634.28029488136,16201.878922534313,13740.834022908848
11,32974.78460282486,15884.195022092465,13471.405904812596
12,32328.220198847906,15572.740217737712,13207.260690992742
13,31694.33352828226,15267.392370331088,12948.294795090922
14,31072.876008119863,14968.031735618715,12694.406661853847
15,30463.603929529276,14674.540917273249,12445.496727307693
16,29866.278362283603,14386.804820856127,12201.467379713424
17,29280.665061062355,14104.710608682475,11962.22292128767
18,28706.53437359054,13828.147655571054,11727.669530674186
19,28143.661150578966,13557.007505461817,11497.715226151162
20,27591.824657430356,13291.183828884134,11272.269829559962
21,27050.80848767682,13030.572381258957,11051.24493094114
22,26520.40047811453,12775.070962018584,10834.553853863863
23,26000.392625602475,12524.579374528023,10622.111621435159
24,25490.581005492622,12278.999386792178,10413.834922975646
25,24990.765691659435,12038.234692933509,10209.642081348671
26,24500.750678097487,11802.190875425009,10009.45302093007
27,24020.34380205636,11570.775368063732,9813.189236205952
28,23549.356668682703,11343.897419670326,9620.773760986225
29,23087.604577139904,11121.46805850032,9432.13113822179
30,22634.906448176374,10903.400057353254,9247.18739041352
