Time,NBS-1,NBS-2,NBS-3
1,44117.64705882353,105882.35294117648,95588.23529411765
2,85063.4371395617,108131.48788927335,173010.38062283737
3,115905.64714928645,228984.32729493178,236758.4865549449
4,113632.98740126126,103932.61042798286,232116.1632891617
5,111404.88960907965,220092.58678866955,227564.86596976637
6,109220.48000890162,99896.7804959466,223102.80977428073
7,107078.9019695114,211546.12340318103,218728.24487674583
8,104979.31565638371,96017.66675888754,214439.4557615155
9,102920.89770233697,203331.52960705597,210234.7605505054
10,100902.84088464409,92289.18373595495,206112.51034363272
11,98924.3538084746,195435.91849966932,202071.08857218895
12,96984.66059654372,88705.48225293633,198108.91036489114
13,95083.00058484677,187846.90359445338,194224.42192636384
14,93218.62802435958,85260.94026618254,190416.0999278077
15,91390.81178858783,180552.5793872101,186682.45090961538
16,89598.83508685081,81950.15404285135,183022.01069570135
17,87841.99518318706,173541.50267897933,179433.34381931505
18,86119.60312077163,78767.92968363258,175915.04296011277
19,84430.98345173689,166802.67462416313,172465.72839226743
20,82775.47397229106,75709.27497465647,169084.04744339944
21,81152.42546303046,160325.5234757431,165768.6739641171
22,79561.20143434359,72769.39155580207,162518.30780795793
23,78001.17787680743,154099.88800052198,159331.67432152736
24,76471.74301647788,69943.66739312,156207.52384463468
25,74972.29707497831,148116.00153837178,153144.63122023008
26,73502.25203429245,67227.66954356017,150141.79531395106
27,72061.03140616907,142364.47668048035,147197.83854308925
28,70648.0700060481,64617.13720065376,144311.60641479338
29,69262.81373141971,136836.2905425609,141481.96707332684
30,67904.71934452913,62107.97501024006,138707.8108562028
