Time,NBS-1,NBS-2,NBS-3
1,14285.714285714284,5714.285714285714,6190.47619047619
2,26757.36961451247,11111.111111111111,10884.353741496598
3,35417.34153979051,17060.79257099665,14469.279775402223
4,33730.80146646716,16248.373877139666,13780.26645276402
5,32124.57282520681,15474.641787752062,13124.063288346686
6,30594.831262101725,14737.75408357339,12499.10789366351
7,29137.934535334974,14035.956270069897,11903.912279679533
8,27750.413843176168,13367.577400066568,11337.059313980506
9,26428.96556492968,12731.026095301493,10797.199346648102
10,25170.443395171125,12124.786757429993,10283.046996807716
11,23971.85085254393,11547.415959457136,9793.378092197823
12,22830.33414527993,10997.539009006794,9327.026754474116
13,21743.175376457075,10473.846675244566,8882.882623308682
14,20707.78607281626,9975.092071661491,8459.888212674936
15,19721.70102172977,9500.087687296656,8057.036393023747
16,18782.5724016474,9047.702559330151,7673.367993355951
17,17888.164192045144,8616.859580314429,7307.969517481857
18,17036.346849566802,8206.532933632789,6959.97096903034
19,16225.092237682666,7815.745651078845,6628.543780028895
20,15452.468797793017,7443.567286741758,6312.898838122757
21,14716.636950279062,7089.111701658817,6012.284607735958
22,14015.844714551487,6751.534953960777,5725.985340700912
23,13348.423537668083,6430.033289486454,5453.319372096107
24,12712.78432158865,6123.841228082338,5193.637497234387
25,12107.413639608236,5832.2297410307965,4946.321425937511
26,11530.870132960226,5554.504515267426,4710.782310416677
27,10981.781079009737,5290.004300254691,4486.459343253979
28,10458.839122866417,5038.099333575896,4272.818422146645
29,9960.79916463468,4798.189841500853,4069.3508782349
30,9486.475394890173,4569.704610953193,3875.5722649856193
