Time,NBS-1,NBS-2,NBS-3
1,41284.403669724765,99082.56880733944,89449.54128440366
2,74488.67940409055,94688.99924248799,151502.39878798078
3,94978.5680475109,187640.5856548386,194011.09936534238
4,87136.30096101915,79697.83624483459,177991.83428013057
5,79941.56051469647,157933.3268704979,163295.26080745924
6,73340.88120614355,67080.07427391178,149812.16587840297
7,67285.21211572802,132929.32149692607,137442.35401688344
8,61729.552399750464,56459.9564631864,126093.90276778296
9,56632.61688050501,111883.95042246112,115682.4796034706
10,51956.529248169725,47521.21577576499,106130.71523254183
11,47666.54059465113,94170.4826382132,97367.6286537081
12,43730.77118775332,39997.65657416463,89328.09968230099
13,40119.973566746165,79261.41119284,81952.38502963394
14,36807.31519884969,33665.22731602106,75185.6743391137
15,33768.179081513474,66712.7440390876,68977.68287992082
16,30979.980808727956,28335.348300665813,63282.277871486986
17,28422.00074195225,56150.78195361298,58057.13566191466
18,26075.230038488302,23849.295766910032,53263.42721276574
19,23922.229393108533,47260.98977662905,48865.529552996086
20,21946.999443218836,20073.47510050503,44830.761057794574
21,20134.86187451269,39778.6295569641,41129.138585132634
22,18472.350343589624,16895.442387429535,37733.154665259295
23,16947.11040696296,33480.876657658526,34617.573087393845
24,15547.80771281005,14220.555834887242,31759.241364581507
25,14264.043773220228,28180.184039776548,29136.918683102296
26,13086.278691027732,11969.157339354633,26731.118057892014
27,12005.760266997919,23718.697112849546,24523.961521001846
28,11014.458960548547,10074.200268794404,22499.04726697417
29,10105.008220686741,19963.55282623478,20641.32776786621
30,9270.649743749302,8479.25281440485,18936.99795217083
