Process,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Cap-1_C1,36.547983485714276,85.78283267120179,96.01752808551991,99.49574859035071,99.23062588315027,97.62655360104252,95.44682070841066,93.01972041711282,90.50885210093057,87.99457300903964,85.51539336677847,83.08912474669827,80.7234431864988,78.42109760456522,76.18246121655025,74.00677687111086,71.89276368789659,69.8389116720465,67.8436247155695,65.9052892334529,64.02230713524614,62.19311113741278,60.41617130665796,58.68999800423015,57.013142372702085,55.38419616847524,53.80179091368585,52.26459707155407,50.77132294049858,49.31086835061525
Cap-1_D1,50930.987095238095,119942.12964988663,135019.83946182916,140237.23060247526,139763.6869223361,137428.54645889835,134321.31070731182,130886.46072741318,127344.03306549272,123801.88847080841,120311.61777018875,116897.0049268925,113568.22495310774,110328.84039622909,107179.22778991288,104118.2494906727,101144.06819506241,98254.54237616727,95447.41807788028,92720.42121508153,90071.30148643648,87497.85285355653,84997.92253502784,82569.41451971306,80210.29036839824,77918.56874210002,75692.32439895284,73529.68677795514,71428.83870732728,69374.16356680312
Cap-1_E1,231798.86333333328,548232.1994013605,621632.5919533528,647548.7793666216,644783.5460758681,633570.8314549982,619020.5959754644,603079.5402160443,586702.5373002078,570356.3373451642,554263.5845871305,538526.446902458,523188.17470174225,508263.4107081947,493753.0264227975,479651.36094974016,465949.7452989851,452638.21428422374,439706.3359750265,427143.61068589974,414939.65952117904,403084.31476547197,391567.65611295565,380380.02638993616,369512.03430779907,358954.55173009244,348698.70945309347,338735.89019623696,329057.72234999354,319592.26354836527
Cap-1_R1,0.0,49127.70027210884,74139.54007558578,86442.92178670409,93236.59739071093,97398.41033967244,100194.21253094295,102211.55144463376,103733.91429517363,104903.79683924589,105797.00258975991,106457.29946753218,106912.7894872406,107183.697840919,107286.10161181804,107233.72746462312,107038.8284834367,106712.62130075914,106265.51215429965,105707.22164203339,105046.86021566736,104292.97909150587,103453.60916964454,102536.29294328493,101548.11279430408,100495.71669280482,99385.34209696652,98222.83845766247,97013.68831193248,95728.72840202475
Cap-1_T1,35.1563769047619,82.51655248979591,92.3615500701868,95.70733330248197,95.45230543906723,93.90931006335238,91.81257307571752,89.47788742851199,87.0626232533312,84.64407822547152,82.2592962223302,79.92541060783681,77.64980507434225,75.4351239519027,73.28172621775512,71.18888356531198,69.15536387251491,67.1797146206772,65.26040049455172,63.395869375632024,61.58458401096655,59.825036742257524,58.1157559455895,56.45530869977995,54.84230128300592,53.275379095569996,51.753225729132375,50.274562311355496,48.83814631509095,47.43330021674648
Cap-1_T2,1.8235981847619045,4.280220220408164,4.790890580282906,4.964439871864089,4.951211307653751,4.871174518525793,4.76241456693605,4.641311971083051,4.516029683364581,4.390577215021508,4.266876067237003,4.145814968668186,4.027776921767387,3.9128990866116666,3.8012000848617604,3.6926421393612574,3.5871613368640287,3.484682337196208,3.385125498576916,3.2884103107175,3.1944570388926032,3.103187472548737,3.0145252824955713,2.928396139291363,2.8447277521480028,2.7634498527705214,2.684494159212248,2.6077943343008108,2.5332859288454337,2.4604150865452703
Cap-2_C1,36.547983485714276,85.78283267120179,96.01752808551991,99.49574859035071,99.23062588315027,97.62655360104252,95.44682070841066,93.01972041711282,90.50885210093057,87.99457300903964,85.51539336677847,83.08912474669827,80.7234431864988,78.42109760456522,76.18246121655025,74.00677687111086,71.89276368789659,69.8389116720465,67.8436247155695,65.9052892334529,64.02230713524614,62.19311113741278,60.41617130665796,58.68999800423015,57.013142372702085,55.38419616847524,53.80179091368585,52.26459707155407,50.77132294049858,49.31086835061525
Cap-2_D1,50930.987095238095,119942.12964988663,135019.83946182916,140237.23060247526,139763.6869223361,137428.54645889835,134321.31070731182,130886.46072741318,127344.03306549272,123801.88847080841,120311.61777018875,116897.0049268925,113568.22495310774,110328.84039622909,107179.22778991288,104118.2494906727,101144.06819506241,98254.54237616727,95447.41807788028,92720.42121508153,90071.30148643648,87497.85285355653,84997.92253502784,82569.41451971306,80210.29036839824,77918.56874210002,75692.32439895284,73529.68677795514,71428.83870732728,69374.16356680312
Cap-2_E1,231798.86333333328,548232.1994013605,621632.5919533528,647548.7793666216,644783.5460758681,633570.8314549982,619020.5959754644,603079.5402160443,586702.5373002078,570356.3373451642,554263.5845871305,538526.446902458,523188.17470174225,508263.4107081947,493753.0264227975,479651.36094974016,465949.7452989851,452638.21428422374,439706.3359750265,427143.61068589974,414939.65952117904,403084.31476547197,391567.65611295565,380380.02638993616,369512.03430779907,358954.55173009244,348698.70945309347,338735.89019623696,329057.72234999354,319592.26354836527
Cap-2_R1,0.0,49127.70027210884,74139.54007558578,86442.92178670409,93236.59739071093,97398.41033967244,100194.21253094295,102211.55144463376,103733.91429517363,104903.79683924589,105797.00258975991,106457.29946753218,106912.7894872406,107183.697840919,107286.10161181804,107233.72746462312,107038.8284834367,106712.62130075914,106265.51215429965,105707.22164203339,105046.86021566736,104292.97909150587,103453.60916964454,102536.29294328493,101548.11279430408,100495.71669280482,99385.34209696652,98222.83845766247,97013.68831193248,95728.72840202475
