Process,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
P1,22627.556289999997,55765.2837509,65539.5346082,71309.379125,74675.3317658,77141.6080234,79190.2101119,81023.73033300001,82761.308418,84465.703683,86169.74339399999,87890.652286,89637.605497,91415.649093,93227.72007499999,95075.683276,96960.861785,98884.309456,100846.949967,102849.648151,104893.246304,106978.583777,109106.50602699998,111277.870422,113493.54842900002,115754.42794400001,118061.413554,120415.42798599998,122817.41184500002,125242.92011099998
P13,18712.912589999996,46117.70121700001,54200.97365,58972.615560000006,61756.247019999995,63795.84915999999,65490.03617,67015.93674,68467.33413,69893.62230999999,71320.64423,72761.969,74224.83416,75713.2299,77229.48792,78775.09677,80351.1197,81958.40843,83597.71278,85269.73662000001,86975.16692,88714.68845999999,90488.99150999999,92298.77609,94144.75409,96027.65037,97948.20402,99907.16842,101905.31193,103922.66909
P2,182.3584571,449.41976811000006,528.19174333,574.69168035,601.8183361999999,621.6943815000001,638.2043356,653.0743282000001,667.218283,681.1175470000001,695.0239614000001,709.0697578,723.3254666,737.8299724999999,752.6059979,767.6680491,783.0264871999999,798.6896124000001,814.6647314,830.9587044,847.5782256,864.5299672000001,881.820657,899.4571160999999,917.4462828000001,935.7952204999999,954.5111304999998,973.6013567000002,993.0733856,1012.7326519
P3,490.5800055000001,1209.0272978000003,1420.9393563,1546.0333053,1619.0093276000002,1672.4797863999997,1716.8948004999997,1756.897997,1794.9480087999998,1832.3397543,1869.7507349,1907.5366814999998,1945.8873339000002,1984.907299,2024.6577040000002,2065.1775755,2106.4947853000003,2148.6316626999997,2191.6078656,2235.4418476000005,2280.1516173,2325.7551263,2372.2704727,2419.7160071,2468.1103915000003,2517.4726318000003,2567.8221006,2619.1785515999995,2671.5621271,2724.4494081000003
P5,1304.3993160000002,3214.6731649000003,3778.1244704,4110.7357847,4304.7711574,4446.943340299999,4565.0380712999995,4671.4022540999995,4772.5731306,4871.9937485,4971.465512,5071.934267,5173.9045129999995,5277.654391,5383.346433,5491.084398,5600.942402000001,5712.979815000001,5827.248902,5943.7987330000005,6062.677187000001,6183.931999,6307.611287,6433.7638449999995,6562.439291000001,6693.688163000001,6827.561970000001,6964.113232000001,7103.395509,7244.017085000001
P6,205.4428923,506.31102343999993,595.0546039899999,647.4408861,678.0014573,700.3935759999999,718.9934962,735.745855,751.6802681,767.3390153,783.0058181000002,798.8296470999999,814.8899609000001,831.2305666,847.8770628,864.8457925,882.1484285000001,899.7943213000001,917.7917017999998,936.1482999,954.8716566,973.9692895,993.4487775,1013.3178049999999,1033.5841877999999,1054.2558854999997,1075.3410103,1096.847834,1118.7847928,1140.9326907000002
P7,44.02347692,108.49521926999998,127.51170091,138.73733271999998,145.28602655999998,150.08433774,154.07003486,157.65982605,161.07434311999998,164.42978901,167.78696098,171.17778151000002,174.61927739,178.12083568999998,181.68794211,185.32409841,189.03180608999998,192.81306873000003,196.66965045000003,200.60320723,204.61535501999998,208.70770491,212.88188097999998,217.13952970999998,221.48232605,225.91197547000002,230.43021647999998,235.03882164,239.73959836999995,244.4855766
P8,24.763205770000006,61.02856086,71.72533174,78.03974962999999,81.72338995000001,84.42244002000001,86.66439467000001,88.68365219,90.60431797999999,92.49175631999998,94.38016553999998,96.28750215999997,98.22334349000002,100.19297004,102.19946746999997,104.24480541999999,106.33039093000002,108.45735123,110.62667840000002,112.83930404000002,115.09613718999998,117.39808401000002,119.74605808,122.14098550999998,124.58380842,127.07548625999999,129.61699677000001,132.20933710999998,134.85352414,137.52313686000002
