Time,Cost
1,435809.5238095238
2,442403.62811791385
3,504092.4306230428
4,92841.97428026386
5,108870.96083079235
6,84210.4075104434
7,98749.17082158037
8,76381.32200493732
9,89568.40890846291
10,69280.11066207467
11,81241.18721856046
12,62839.10264133756
13,73688.15167216367
14,56996.91849554426
15,66837.32577974028
16,51697.885256729496
17,60623.424743528594
18,46891.505901795455
19,54987.233327463575
20,42531.9781422181
21,49875.04156686038
22,38577.75795212525
23,45238.13294046293
24,34991.16367539705
25,41032.32012740401
26,31738.016939135647
27,37217.523925083005
28,28787.316951596953
29,33757.391315268025
30,26110.94508081356
