Time,Program Director (Cost/yr),Monitoring and Evaluation Manager (Cost/yr),Finance and Administrator (Cost/yr),Implementation Manager (Cost/yr),Office Costs (Cost/yr),Travel (Cost/yr),Equipment (Cost/yr),Contracts (Cost/yr),Overhead (Cost/yr),Others (Cost/yr)
1,29411.764705882353,14705.882352941177,14705.882352941177,14705.882352941177,6862.745098039216,4901.9607843137255,4901.9607843137255,4901.9607843137255,3921.5686274509803,0.0
2,28835.06343713956,14417.53171856978,14417.53171856978,14417.53171856978,6728.181468665898,4805.843906189927,4805.843906189927,4805.843906189927,3844.6751249519416,0.0
3,28269.67003641133,14134.835018205666,14134.835018205666,14134.835018205666,6596.25634182931,4711.611672735222,4711.611672735222,4711.611672735222,3769.2893381881777,0.0
4,27715.362780795425,13857.681390397713,13857.681390397713,13857.681390397713,6466.9179821856,4619.227130132571,4619.227130132571,4619.227130132571,3695.381704106057,0.0
5,27171.924294897475,13585.962147448738,13585.962147448738,13585.962147448738,6340.1156688094115,4528.65404914958,4528.65404914958,4528.65404914958,3622.9232393196635,0.0
6,26639.14146558576,13319.57073279288,13319.57073279288,13319.57073279288,6215.799675303344,4439.85691093096,4439.85691093096,4439.85691093096,3551.885528744768,0.0
7,26116.805358417412,13058.402679208706,13058.402679208706,13058.402679208706,6093.921250297396,4352.800893069569,4352.800893069569,4352.800893069569,3482.240714455655,0.0
8,25604.711135703343,12802.355567851671,12802.355567851671,12802.355567851671,5974.43259833078,4267.451855950557,4267.451855950557,4267.451855950557,3413.9614847604457,0.0
9,25102.657976179747,12551.328988089874,12551.328988089874,12551.328988089874,5857.286861108608,4183.776329363292,4183.776329363292,4183.776329363292,3347.021063490633,0.0
10,24610.448996254654,12305.224498127327,12305.224498127327,12305.224498127327,5742.438099126086,4101.741499375776,4101.741499375776,4101.741499375776,3281.3931995006205,0.0
11,24127.89117279868,12063.94558639934,12063.94558639934,12063.94558639934,5629.841273653025,4021.3151954664468,4021.3151954664468,4021.3151954664468,3217.0521563731577,0.0
12,23654.79526744969,11827.397633724844,11827.397633724844,11827.397633724844,5519.452229071594,3942.465877908281,3942.465877908281,3942.465877908281,3153.972702326625,0.0
13,23190.975752401653,11595.487876200827,11595.487876200827,11595.487876200827,5411.227675560385,3865.1626254002754,3865.1626254002754,3865.1626254002754,3092.13010032022,0.0
14,22736.25073764868,11368.12536882434,11368.12536882434,11368.12536882434,5305.125172118025,3789.3751229414465,3789.3751229414465,3789.3751229414465,3031.5000983531572,0.0
15,22290.44189965557,11145.220949827784,11145.220949827784,11145.220949827784,5201.1031099196325,3715.073649942595,3715.073649942595,3715.073649942595,2972.0589199540755,0.0
16,21853.374411427027,10926.687205713513,10926.687205713513,10926.687205713513,5099.12069599964,3642.229068571171,3642.229068571171,3642.229068571171,2913.7832548569368,0.0
17,21424.876873948066,10712.438436974033,10712.438436974033,10712.438436974033,4999.137937254548,3570.8128123246775,3570.8128123246775,3570.8128123246775,2856.650249859742,0.0
18,21004.78124896869,10502.390624484346,10502.390624484346,10502.390624484346,4901.115624759361,3500.796874828115,3500.796874828115,3500.796874828115,2800.637499862492,0.0
19,20592.922793106558,10296.461396553279,10296.461396553279,10296.461396553279,4805.015318391531,3432.153798851093,3432.153798851093,3432.153798851093,2745.7230390808745,0.0
20,20189.139993241723,10094.569996620861,10094.569996620861,10094.569996620861,4710.799331756402,3364.8566655402874,3364.8566655402874,3364.8566655402874,2691.88533243223,0.0
21,19793.27450317816,9896.63725158908,9896.63725158908,9896.63725158908,4618.430717408238,3298.879083863027,3298.879083863027,3298.879083863027,2639.1032670904215,0.0
22,19405.171081547218,9702.585540773609,9702.585540773609,9702.585540773609,4527.873252361017,3234.195180257869,3234.195180257869,3234.195180257869,2587.3561442062955,0.0
23,19024.677530928642,9512.338765464321,9512.338765464321,9512.338765464321,4439.091423883349,3170.779588488107,3170.779588488107,3170.779588488107,2536.6236707904854,0.0
24,18651.644638165333,9325.822319082667,9325.822319082667,9325.822319082667,4352.050415571911,3108.607439694222,3108.607439694222,3108.607439694222,2486.885951755378,0.0
25,18285.926115848368,9142.963057924184,9142.963057924184,9142.963057924184,4266.716093697953,3047.6543526413943,3047.6543526413943,3047.6543526413943,2438.1234821131156,0.0
26,17927.37854494938,8963.68927247469,8963.68927247469,8963.68927247469,4183.054993821522,2987.89642415823,2987.89642415823,2987.89642415823,2390.317139326584,0.0
27,17575.861318577823,8787.930659288912,8787.930659288912,8787.930659288912,4101.034307668158,2929.3102197629705,2929.3102197629705,2929.3102197629705,2343.448175810376,0.0
28,17231.236586841,8615.6182934205,8615.6182934205,8615.6182934205,4020.6218702629003,2871.8727644735004,2871.8727644735004,2871.8727644735004,2297.4982115788002,0.0
29,16893.369202785296,8446.684601392648,8446.684601392648,8446.684601392648,3941.786147316569,2815.561533797549,2815.561533797549,2815.561533797549,2252.4492270380397,0.0
30,16562.12666939735,8281.063334698674,8281.063334698674,8281.063334698674,3864.4962228593813,2760.354444899558,2760.354444899558,2760.354444899558,2208.2835559196465,0.0
