Process,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
C1,38.37538265999999,94.57557301999998,111.15229095000001,120.93770426,126.64621825,130.82891889,134.30326176,137.43249231,140.40893606,143.33388716,146.260343,149.2161303,152.21609141,155.26840921000002,158.37786540000002,161.54751259999998,164.77953129,168.07566809,171.43746073,174.86635268,178.36375262999996,181.93106506,185.56970541,189.28110926,193.06673637,196.92807365999997,200.86663643999998,204.88396989,208.98164958,213.11873147999998
D1,53477.53645,132236.197939,156302.341657,170459.23028,178377.816726,184167.396007,189003.573068,193378.91392000002,197552.391631,201660.23091499996,205773.69511099998,209930.225791,214149.825978,218443.55743000002,222817.91689999998,227277.08099999998,231824.05704,236461.27148,241190.87176,246014.88083000004,250935.27641,255954.03203,261073.13827,266294.61412,271620.51310000004,277052.92676,282593.98708,288245.86768,294010.78554,299831.13726
E1,243388.80649999995,604425.99984,719617.4292600001,787099.5884999998,822925.3516599999,849045.5092600001,871024.1422300001,891023.1497299998,910168.2005000002,929050.37325,947978.8234900001,967116.1264,986549.3328999999,1006326.7877,1026477.0802999999,1047018.7670999999,1067965.3514,1089327.8324,1111116.0116,1133339.1620000002,1156006.3687,1179126.7128,1202709.3577999999,1226763.6017,1251298.9030999998,1276324.8957999998,1301851.4014,1327888.4334,1354446.2039,1381259.3466
R1,0.0,54163.28955,85825.78508,105071.9117,118996.1502,130523.1851,140983.3188,151013.0131,160925.3482,170877.23100000003,180948.7775,191182.0147,201600.0098,212216.3903,223040.0999,234077.7787,245334.9556,256816.6469,268527.6567,280472.7286,292656.6228,305084.1551,317760.2182,330689.7926,343877.9535,357329.8751,371050.8338,385046.2111,399321.4957,413734.0478
T1,36.91419575,90.97449912,106.9200394,116.33286179999999,121.82401753,125.84745703,129.18951038,132.19959188,135.06270400999998,137.87628421000002,140.6913119,143.53455424999999,146.42028833999998,149.35638562,152.34744567,155.39640491000003,158.50536077000004,161.67599332,164.90978178,168.20811473,171.57234720000002,175.00383004999995,178.50392498,182.07401291000002,185.71549792,189.42981039000003,193.2184078,197.08277664,201.02443246,205.00399019999998
T2,1.9147780939999999,4.718942793,5.546054708,6.0343076920000005,6.3191397039999995,6.527839737000001,6.70119555,6.857331638,7.005844271999999,7.151787634,7.2978060739999995,7.445288038000001,7.594974098,7.747272547,7.902421972,8.06057469,8.221839493,8.386303536,8.55404354,8.725131530999999,8.899637807000001,9.07763242,9.259186018000001,9.444370224,9.633257879,9.825923165999999,10.022441691000001,10.222890557,10.427348385,10.633772223000001
