Process,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Cap-1_C1,37.62292417647058,90.90308825451747,104.74128629825631,111.72774491474829,114.70738181746877,116.17233593667851,116.91907154621681,117.29730887524403,117.48791662378238,117.58371064620331,117.63178796000692,117.6559004282532,117.66798950048877,117.67404944781333,117.677086896339,117.67860926941749,117.67937230783741,117.6797547168239,117.67994642197093,117.68004247880333,117.68009057408517,117.68011475124658,117.68012683115582,117.68013288784219,117.68013588965982,117.68013742101648,117.68013818662101,117.68013860085993,117.68013876540137,117.65664754643466
Cap-1_D1,52428.95730392157,127101.30520857363,147287.18748539398,157477.98021817827,161562.28439893227,163535.37718596758,164538.98432874598,165047.04102192144,165303.00398297692,165431.62758355142,165496.1773954288,165528.5503845197,165544.78072122773,165552.91645841466,165556.99436205774,165559.0382076409,165560.06261670377,165560.57604301328,165560.83335185816,165560.962316585,165561.02695046723,165561.05935179887,165561.07558580986,165561.08372078682,165561.0878031808,165561.0898337552,165561.09087940177,165561.09137244488,165561.09165760496,165528.0424909861
Cap-1_E1,238616.47696078426,580955.4016147635,678111.5759210258,727158.3546630763,745348.8451885801,753928.1143965815,758278.9328367799,760479.6788020398,761588.0345982165,762144.8941940158,762424.3295761484,762564.4656613665,762634.7219277308,762669.9389719918,762687.5906585077,762696.4377742338,762700.8719795893,762703.0942658408,762704.2080354431,762704.7667147089,762705.0461033761,762705.186290213,762705.2565191758,762705.2917981399,762705.3096976234,762705.318444989,762705.322946753,762705.3252281686,762705.3262597905,762553.0753892738
Cap-1_R1,0.0,52060.063004613614,80875.55416091849,97070.20502790678,107778.4794872883,115900.85308059119,122734.46319611036,128888.15260525617,134655.13251874113,140178.84593822417,145530.4137123654,150745.7138849019,155843.36463185784,160833.5020166505,165722.0796038108,170512.97797754194,175209.04055351717,179812.5829742711,184325.64340789744,188750.10606639637,193087.7623417823,197340.34079949284,201509.5227804174,205596.94990145988,209604.22835233802,213532.9312112394,217384.5999003823,221160.7453443608,224862.84858228473,228410.52357020325
Cap-1_T1,36.19038799019607,87.44184844290658,100.75314113726996,107.4735822705046,110.33976605418077,111.74894036354651,112.46724323145686,112.83107874484246,113.01442880336768,113.10657534477721,113.15282208271586,113.17601648628,113.18764521841993,113.19347442417552,113.19639620893561,113.1978606229316,113.19859461193228,113.19896242987744,113.19914680078637,113.19923920944117,113.19928550947304,113.19930873487543,113.19932035831926,113.19932622140159,113.19932911777036,113.19933061865052,113.19933132297385,113.19933171584603,113.19933187757191,113.17673511414307
Cap-1_T2,1.877233425490196,4.535700493079585,5.226171219968187,5.5747675604908125,5.723439521532295,5.7965348739538385,5.833793994934764,5.8526665250903145,5.862177086479799,5.866956826620058,5.869355691788706,5.87055880820274,5.871162004894553,5.871464372049804,5.871615927780919,5.8716918890614105,5.871729960496285,5.871749042037754,5.871758606269731,5.8717633979602155,5.871765803093784,5.871767004183316,5.871767606377776,5.871767908310598,5.871768061010272,5.871768138348982,5.871768174484954,5.871768192968326,5.8717682024624,5.870596084361502
Cap-2_C1,37.62292417647058,90.90308825451747,104.74128629825631,111.72774491474829,114.70738181746877,116.17233593667851,116.91907154621681,117.29730887524403,117.48791662378238,117.58371064620331,117.63178796000692,117.6559004282532,117.66798950048877,117.67404944781333,117.677086896339,117.67860926941749,117.67937230783741,117.6797547168239,117.67994642197093,117.68004247880333,117.68009057408517,117.68011475124658,117.68012683115582,117.68013288784219,117.68013588965982,117.68013742101648,117.68013818662101,117.68013860085993,117.68013876540137,117.65664754643466
Cap-2_D1,52428.95730392157,127101.30520857363,147287.18748539398,157477.98021817827,161562.28439893227,163535.37718596758,164538.98432874598,165047.04102192144,165303.00398297692,165431.62758355142,165496.1773954288,165528.5503845197,165544.78072122773,165552.91645841466,165556.99436205774,165559.0382076409,165560.06261670377,165560.57604301328,165560.83335185816,165560.962316585,165561.02695046723,165561.05935179887,165561.07558580986,165561.08372078682,165561.0878031808,165561.0898337552,165561.09087940177,165561.09137244488,165561.09165760496,165528.0424909861
Cap-2_E1,238616.47696078426,580955.4016147635,678111.5759210258,727158.3546630763,745348.8451885801,753928.1143965815,758278.9328367799,760479.6788020398,761588.0345982165,762144.8941940158,762424.3295761484,762564.4656613665,762634.7219277308,762669.9389719918,762687.5906585077,762696.4377742338,762700.8719795893,762703.0942658408,762704.2080354431,762704.7667147089,762705.0461033761,762705.186290213,762705.2565191758,762705.2917981399,762705.3096976234,762705.318444989,762705.322946753,762705.3252281686,762705.3262597905,762553.0753892738
Cap-2_R1,0.0,52060.063004613614,80875.55416091849,97070.20502790678,107778.4794872883,115900.85308059119,122734.46319611036,128888.15260525617,134655.13251874113,140178.84593822417,145530.4137123654,150745.7138849019,155843.36463185784,160833.5020166505,165722.0796038108,170512.97797754194,175209.04055351717,179812.5829742711,184325.64340789744,188750.10606639637,193087.7623417823,197340.34079949284,201509.5227804174,205596.94990145988,209604.22835233802,213532.9312112394,217384.5999003823,221160.7453443608,224862.84858228473,228410.52357020325
