Time,Program Director (Cost/yr),Monitoring and Evaluation Manager (Cost/yr),Finance and Administrator (Cost/yr),Implementation Manager (Cost/yr),Office Costs (Cost/yr),Travel (Cost/yr),Equipment (Cost/yr),Contracts (Cost/yr),Overhead (Cost/yr),Others (Cost/yr)
1,28571.42857142857,14285.714285714284,14285.714285714284,14285.714285714284,6666.666666666666,4761.9047619047615,4761.9047619047615,4761.9047619047615,3809.523809523809,0.0
2,27210.884353741494,13605.442176870747,13605.442176870747,13605.442176870747,6349.206349206349,4535.14739229025,4535.14739229025,4535.14739229025,3628.1179138321995,0.0
3,25915.12795594428,12957.56397797214,12957.56397797214,12957.56397797214,6046.863189720332,4319.18799265738,4319.18799265738,4319.18799265738,3455.350394125904,0.0
4,24681.074243756455,12340.537121878227,12340.537121878227,12340.537121878227,5758.917323543173,4113.512373959409,4113.512373959409,4113.512373959409,3290.8098991675274,0.0
5,23505.784994053764,11752.892497026882,11752.892497026882,11752.892497026882,5484.683165279212,3917.630832342294,3917.630832342294,3917.630832342294,3134.104665873835,0.0
6,22386.461899098824,11193.230949549412,11193.230949549412,11193.230949549412,5223.507776456392,3731.076983183137,3731.076983183137,3731.076983183137,2984.8615865465094,0.0
7,21320.43990390364,10660.21995195182,10660.21995195182,10660.21995195182,4974.7693109108495,3553.4066506506065,3553.4066506506065,3553.4066506506065,2842.725320520485,0.0
8,20305.180860860608,10152.590430430304,10152.590430430304,10152.590430430304,4737.875534200809,3384.196810143435,3384.196810143435,3384.196810143435,2707.357448114748,0.0
9,19338.267486533914,9669.133743266957,9669.133743266957,9669.133743266957,4512.26241352458,3223.0445810889855,3223.0445810889855,3223.0445810889855,2578.4356648711882,0.0
10,18417.397606222774,9208.698803111387,9208.698803111387,9208.698803111387,4297.392774785314,3069.566267703796,3069.566267703796,3069.566267703796,2455.6530141630365,0.0
11,17540.378672593117,8770.189336296558,8770.189336296558,8770.189336296558,4092.7550236050606,2923.3964454321863,2923.3964454321863,2923.3964454321863,2338.717156345749,0.0
12,16705.122545326776,8352.561272663388,8352.561272663388,8352.561272663388,3897.8619272429146,2784.1870908877963,2784.1870908877963,2784.1870908877963,2227.349672710237,0.0
13,15909.640519358834,7954.820259679417,7954.820259679417,7954.820259679417,3712.2494545170616,2651.6067532264724,2651.6067532264724,2651.6067532264724,2121.285402581178,0.0
14,15152.038589865555,7576.0192949327775,7576.0192949327775,7576.0192949327775,3535.4756709686294,2525.3397649775925,2525.3397649775925,2525.3397649775925,2020.271811982074,0.0
15,14430.5129427291,7215.25647136455,7215.25647136455,7215.25647136455,3367.11968663679,2405.08549045485,2405.08549045485,2405.08549045485,1924.0683923638799,0.0
16,13743.345659742,6871.672829871,6871.672829871,6871.672829871,3206.7806539398002,2290.5576099570003,2290.5576099570003,2290.5576099570003,1832.4460879656,0.0
17,13088.900628325713,6544.450314162857,6544.450314162857,6544.450314162857,3054.076813276,2181.4834380542857,2181.4834380542857,2181.4834380542857,1745.1867504434285,0.0
18,12465.61964602449,6232.809823012245,6232.809823012245,6232.809823012245,2908.644584072381,2077.603274337415,2077.603274337415,2077.603274337415,1662.082619469932,0.0
19,11872.018710499513,5936.0093552497565,5936.0093552497565,5936.0093552497565,2770.137699116553,1978.669785083252,1978.669785083252,1978.669785083252,1582.9358280666015,0.0
20,11306.684486190012,5653.342243095006,5653.342243095006,5653.342243095006,2638.226380111003,1884.447414365002,1884.447414365002,1884.447414365002,1507.5579314920017,0.0
21,10768.270939228581,5384.135469614291,5384.135469614291,5384.135469614291,2512.596552486669,1794.7118232047637,1794.7118232047637,1794.7118232047637,1435.769458563811,0.0
22,10255.49613259865,5127.748066299325,5127.748066299325,5127.748066299325,2392.949097606351,1709.2493554331081,1709.2493554331081,1709.2493554331081,1367.3994843464866,0.0
23,9767.139173903475,4883.569586951738,4883.569586951738,4883.569586951738,2278.9991405774776,1627.8565289839125,1627.8565289839125,1627.8565289839125,1302.28522318713,0.0
24,9302.0373084795,4651.01865423975,4651.01865423975,4651.01865423975,2170.47537197855,1550.33955141325,1550.33955141325,1550.33955141325,1240.2716411306,0.0
25,8859.083150932856,4429.541575466428,4429.541575466428,4429.541575466428,2067.119401884333,1476.5138584888093,1476.5138584888093,1476.5138584888093,1181.2110867910474,0.0
26,8437.222048507481,4218.611024253741,4218.611024253741,4218.611024253741,1968.6851446517458,1406.203674751247,1406.203674751247,1406.203674751247,1124.9629398009977,0.0
27,8035.449570007126,4017.724785003563,4017.724785003563,4017.724785003563,1874.9382330016626,1339.2415950011875,1339.2415950011875,1339.2415950011875,1071.39327600095,0.0
28,7652.8091142924995,3826.4045571462498,3826.4045571462498,3826.4045571462498,1785.6554600015834,1275.4681857154167,1275.4681857154167,1275.4681857154167,1020.3745485723333,0.0
29,7288.389632659522,3644.194816329761,3644.194816329761,3644.194816329761,1700.6242476205553,1214.7316054432538,1214.7316054432538,1214.7316054432538,971.785284354603,0.0
30,6941.323459675736,3470.661729837868,3470.661729837868,3470.661729837868,1619.642140591005,1156.8872432792894,1156.8872432792894,1156.8872432792894,925.5097946234314,0.0
