Process,Cost_Function,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
T1,1,44.05435655,15.19542308,17.4470867,20.1925603,22.82758437,24.58379217,25.76070102,26.63085152,27.34609119,27.98667389,28.5943655,29.19078945,29.78715376,30.38931308,31.00037973,31.62206439,32.25536303,32.90090858,33.55915082,34.23044837,34.9151159,35.61344815,36.32573242,37.05225489,37.79330398,38.54917211,39.3201566,40.10656026,40.90869174,41.7185362
E1,1,224919.9253,77580.37326,89076.2627,103093.3036,116546.4434,125512.7785,131521.4976,135964.059,139615.7218,142886.2227,145988.7978,149033.8458,152078.5893,155152.9193,158272.7258,161446.7425,164680.0546,167975.8934,171336.5552,174763.8711,178259.4475,181824.7893,185461.3632,189170.6304,192954.0634,196813.1551,200749.4236,204764.4148,208859.7045,212994.3728
E1,2,154371.8832,102322.3991,89612.17094,84190.5097,86534.60864,89083.49744,91303.92697,93355.77327,95338.5521,97304.51095,99280.87371,101281.9707,103315.5244,105385.881,107495.6671,109646.6379,111840.1113,114077.1899,116358.8749,118686.1247,121059.8841,123481.1006,125950.7323,128469.7519,131039.1494,133659.9337,136333.133,139059.796,141840.9921,144648.9315
C1,1,45.79817483,15.79690858,18.13770055,20.99184914,23.73117625,25.55690061,26.78039544,27.68498939,28.42854064,29.09447974,29.7262258,30.3462582,30.96622859,31.59222339,32.2274781,32.8737711,33.53213781,34.20323621,34.88753387,35.58540362,36.29717257,37.02314714,37.76362599,38.51890664,39.28928893,40.07507684,40.87657946,41.69411161,42.52799412,43.36989492
D1,1,57526.22096,19842.19801,22782.42251,26367.46457,29808.28152,32101.53934,33638.34806,34774.5914,35708.55206,36545.02556,37338.54983,38117.36081,38896.09389,39682.39411,40480.32553,41292.12195,42119.08392,42962.03792,43821.57126,44698.15225,45592.19176,46504.07468,47434.17616,48382.8699,49350.53252,50337.54584,51344.29812,52371.18478,53418.60883,54476.1045
D1,2,14826.25712,9827.296051,8606.574333,8085.86459,8310.997644,8555.799223,8769.054762,8966.11915,9156.550129,9345.365675,9535.180439,9727.370739,9922.678262,10121.52043,10324.1495,10530.73405,10741.40065,10956.2552,11175.39388,11398.90869,11626.89041,11859.43003,12096.61956,12338.55242,12585.32371,12837.03031,13093.77098,13355.64643,13622.75938,13892.44081
T2,1,2.285145731,0.788202551,0.904998707,1.047409305,1.18409077,1.275187113,1.336234611,1.381370231,1.418470464,1.451698161,1.483219762,1.514156899,1.545090942,1.576325578,1.608022247,1.640269683,1.673119548,1.706604674,1.74074839,1.775569299,1.811083723,1.84730695,1.884253882,1.921939366,1.960378361,1.999586034,2.039577809,2.080369393,2.121976795,2.163984277
R1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
