Process,Cost_Function,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
T1,1,80.9685523,106.1699222,124.3671261,136.5254221,144.6516019,150.4312492,154.9502114,158.8304434,162.4087952,165.8629581,169.2856774,172.7253437,176.2074421,179.7456987,183.3478254,187.0184693,190.7607238,194.5769019,198.4689326,202.4385631,206.4874631,210.6172782,214.8296574,219.1262678,223.5088019,227.9789825,232.5385644,237.1893369,241.9331242,246.7225264
E1,1,413385.6935,542051.5209,634957.5137,697031.8067,738520.0928,768028.1357,791099.7388,810910.2993,829179.6077,846814.8686,864289.5934,881850.8413,899628.7272,917693.3291,936084.0203,954824.5267,973930.6416,993414.1745,1013284.973,1033551.959,1054223.655,1075308.464,1096814.805,1118751.189,1141126.258,1163948.806,1187227.794,1210972.356,1235191.806,1259644.143
E1,2,209294.9215,242277.2513,263348.3492,277351.5951,287486.3109,295613.6495,302749.828,309432.6827,315942.8667,322426.2383,328958.9016,335581.1016,342314.7194,349172.2589,356161.4529,363287.6208,370554.8757,377966.7412,385526.4687,393237.1988,401102.0453,409124.1387,417306.6483,425652.795,434165.8579,442849.1786,451706.164,460740.2882,469955.0945,479258.5079
C1,1,84.17355749,110.3724816,129.2899915,141.9295534,150.3773945,156.3858195,161.0836572,165.1174817,168.8374767,172.4283669,175.9865688,179.5623885,183.18232,186.8606326,190.6053435,194.4212837,198.3116691,202.2789043,206.3249946,210.4517563,214.6609252,218.9542122,223.3333314,227.8000159,232.3560253,237.0031505,241.7432159,246.5780815,251.5096437,256.4886264
D1,1,105728.8131,138636.7861,162398.7123,178275.0269,188886.2002,196433.2692,202334.1343,207400.945,212073.5602,216584.0095,221053.3996,225544.9191,230091.8466,234712.1054,239415.7659,244208.8962,249095.5357,254078.7048,259160.9222,264344.4695,269631.527,275024.2435,280524.7723,286135.2902,291858.0075,297695.1735,303649.08,309722.0631,315916.5052,322170.5112
D1,2,20101.20143,23268.9059,25292.6262,26637.53254,27610.89569,28391.46537,29076.84159,29718.67947,30343.93362,30966.61265,31594.02578,32230.03824,32876.75153,33535.36657,34206.62603,34891.0408,35589.00591,36300.8598,37026.9147,37767.47227,38522.83158,39293.29324,40079.16169,40880.74624,41698.36183,42532.32941,43382.97618,44250.63579,45135.64855,46029.17137
T2,1,4.199923825,5.507145344,6.451053415,7.081716997,7.503230474,7.80302685,8.037430161,8.238701869,8.424314736,8.603485795,8.781025836,8.959444937,9.14006504,9.323598125,9.510444219,9.700844373,9.894959041,10.09290821,10.29479193,10.50070083,10.71072153,10.92493937,11.1434399,11.36630959,11.59363624,11.8255092,12.0620195,12.30325995,12.54932518,12.7977565
R1,1,0,54163.28955,85825.78508,105071.9117,118996.1502,130523.1851,140983.3188,151013.0131,160925.3482,170877.231,180948.7775,191182.0147,201600.0098,212216.3903,223040.0999,234077.7787,245334.9556,256816.6469,268527.6567,280472.7286,292656.6228,305084.1551,317760.2182,330689.7926,343877.9535,357329.8751,371050.8338,385046.2111,399321.4957,413734.0478
